[02-Nov-2019 18:28:18 Europe/Moscow] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; Menu has a deprecated constructor in D:\Programs\Web\OSPanel\domains\kavo\classes\menu.class.php on line 2
[02-Nov-2019 18:28:18 Europe/Moscow] PHP Warning:  Invalid argument supplied for foreach() in D:\Programs\Web\OSPanel\domains\kavo\classes\user.class.php on line 39
[02-Nov-2019 18:28:43 Europe/Moscow] PHP Warning:  The first parameter of bindtextdomain must not be empty in D:\Programs\Web\OSPanel\domains\kavo\index.php on line 17
[02-Nov-2019 18:28:43 Europe/Moscow] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; DB has a deprecated constructor in D:\Programs\Web\OSPanel\domains\kavo\classes\db.class.php on line 3
[02-Nov-2019 18:28:43 Europe/Moscow] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; User has a deprecated constructor in D:\Programs\Web\OSPanel\domains\kavo\classes\user.class.php on line 2
[02-Nov-2019 18:28:43 Europe/Moscow] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; Menu has a deprecated constructor in D:\Programs\Web\OSPanel\domains\kavo\classes\menu.class.php on line 2
[02-Nov-2019 18:28:43 Europe/Moscow] PHP Warning:  Invalid argument supplied for foreach() in D:\Programs\Web\OSPanel\domains\kavo\classes\user.class.php on line 39
[02-Nov-2019 18:28:51 Europe/Moscow] PHP Warning:  The first parameter of bindtextdomain must not be empty in D:\Programs\Web\OSPanel\domains\kavo\index.php on line 17
[02-Nov-2019 18:28:51 Europe/Moscow] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; DB has a deprecated constructor in D:\Programs\Web\OSPanel\domains\kavo\classes\db.class.php on line 3
[02-Nov-2019 18:28:51 Europe/Moscow] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; User has a deprecated constructor in D:\Programs\Web\OSPanel\domains\kavo\classes\user.class.php on line 2
[02-Nov-2019 18:28:51 Europe/Moscow] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; Menu has a deprecated constructor in D:\Programs\Web\OSPanel\domains\kavo\classes\menu.class.php on line 2
[02-Nov-2019 18:28:51 Europe/Moscow] PHP Warning:  Invalid argument supplied for foreach() in D:\Programs\Web\OSPanel\domains\kavo\classes\user.class.php on line 39
[02-Nov-2019 18:28:56 Europe/Moscow] PHP Warning:  The first parameter of bindtextdomain must not be empty in D:\Programs\Web\OSPanel\domains\kavo\index.php on line 17
[02-Nov-2019 18:28:56 Europe/Moscow] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; DB has a deprecated constructor in D:\Programs\Web\OSPanel\domains\kavo\classes\db.class.php on line 3
